hs_code,type,datas_code,datas_desc,type_pure_string
0402105000,MK/CM<1.5%FOQ,0402105000,MK/CM<1.5%FOQ,MKCM<15%FOQ
0403100500,YOGURT DRY,0403100500,YOGURT DRY,YOGURTDRY
0402101000,M/CP<1.5%FQT,0402101000,M/CP<1.5%FQT,MCP<15%FQT
0407290000,EG NES ISFRESH,0407290000,EG NES ISFRESH,EGNESISFRESH
0402295000,M/CC/SWPW/SOQ,0402295000,M/CC/SWPW/SOQ,MCCSWPWSOQ
0401500500,MCNCS10-45%QT,0401500500,MCNCS10-45%QT,MCNCS1045%QT
0402990300,MKCDNSWAC,0402990300,MKCDNSWAC,MKCDNSWAC
0405902040,OMLK-FATOQT,0405902040,OMLK-FATOQT,OMLKFATOQT
0405208000,DAI SPD OTH NQ,0405208000,DAI SPD OTH NQ,DAISPDOTHNQ
0405900540,OMLKFAT NQT,0405900540,OMLKFAT NQT,OMLKFATNQT
0401400200,M&C NC/S 6-10%,0401400200,M&C NC/S 6-10%,MCNCS610%
0401402500,MCNC/S6-10%OT,0401402500,MCNC/S6-10%OT,MCNCS610%OT
0401500200,M&C NC/S10-45%,0401500200,M&C NC/S10-45%,MCNCS1045%
0402100500,MK/CM<1.5%F,0402100500,MK/CM<1.5%F,MKCM<15%F
0402210500,MCC/NS/PG/SQT,0402210500,MCC/NS/PG/SQT,MCCNSPGSQT
0402212500,MCC.NS.PG/SOQ,0402212500,MCC.NS.PG/SOQ,MCCNSPGSOQ
0402212700,MCC/NS3-35,0402212700,MCC/NS3-35,MCCNS335
0402219000,MCC/NS>35OQ,0402219000,MCC/NS>35OQ,MCCNS>35OQ
0402291000,M.CC/SWPW/SQT,0402291000,M.CC/SWPW/SQT,MCCSWPWSQT
0402919000,MCC/NSNACOQ,0402919000,MCC/NSNACOQ,MCCNSNACOQ
0402990600,MKCDNSWNAC,0402990600,MKCDNSWNAC,MKCDNSWNAC
0402995500,MKCDNSWNACOQ,0402995500,MKCDNSWNACOQ,MKCDNSWNACOQ
0402997000,M/CCNCSWQT,0402997000,M/CCNCSWQT,MCCNCSWQT
0402999000,M/CCNCSW OQ,0402999000,M/CCNCSW OQ,MCCNCSWOQ
0403105000,YOGURT DRY OQ,0403105000,YOGURT DRY OQ,YOGURTDRYOQ
0403900400,SCFNOV45QT,0403900400,SCFNOV45QT,SCFNOV45QT
0403901600,SCFNOV45OQ,0403901600,SCFNOV45OQ,SCFNOV45OQ
0403902000,BUTTERMLK FLUID,0403902000,BUTTERMLK FLUID,BUTTERMLKFLUID
0403904500,SCDRD<6OQ,0403904500,SCDRD<6OQ,SCDRD<6OQ
0403905500,SCDRD6-35BFOQ,0403905500,SCDRD6-35BFOQ,SCDRD635BFOQ
0403909000,MK/CMNESOIQT,0403909000,MK/CMNESOIQT,MKCMNESOIQT
0403909500,MK/CMNESOIOQ,0403909500,MK/CMNESOIOQ,MKCMNESOIOQ
0404104800,WHEY O DRD,0404104800,WHEY O DRD,WHEYODRD
0404109000,WHEY DRD QT,0404109000,WHEY DRD QT,WHEYDRDQT
0404905000,MLKPRONESOIOQ,0404905000,MLKPRONESOIOQ,MLKPRONESOIOQ
0405203000,BUT LITE>45% OQT,0405203000,BUT LITE>45% OQT,BUTLITE>45%OQT
0405901040,OMLK-FAT QT,0405901040,OMLK-FAT QT,OMLKFATQT
0406305300,CHPR-GOQ,0406305300,CHPR-GOQ,CHPRGOQ
0407210030,TBL EGCHKNISF,0407210030,TBL EGCHKNISF,TBLEGCHKNISF
03501906000,CSNTS & CASEIN D,03501906000,CSNTS & CASEIN D,CSNTSCASEIND
03501100000,CASEIN,03501100000,CASEIN,CASEIN
03501902000,CASEIN GLUES,03501902000,CASEIN GLUES,CASEINGLUES
